GVKEY,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,iid,datadate,tic,cusip,conm,cshoc,cshtrd,prccd,prchd,prcld,prcod,trfd,ccmbegdt
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-04,AAPL,037833100,APPLE INC,905349000,17540960.00000000,214.01000000,214.50000000,212.38000000,213.43000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-05,AAPL,037833100,APPLE INC,905349000,21474930.00000000,214.38000000,215.59000000,213.25000000,214.60000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-06,AAPL,037833100,APPLE INC,905349000,19642030.00000000,210.97000000,215.23000000,210.75000000,214.38000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-07,AAPL,037833100,APPLE INC,905349000,17013540.00000000,210.58000000,212.00000000,209.05000000,211.75000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-08,AAPL,037833100,APPLE INC,905349000,15972090.00000000,211.98000000,212.00000000,209.06000000,210.30000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-11,AAPL,037833100,APPLE INC,905349000,16467400.00000000,210.11000000,213.00000000,208.45000000,212.80000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-12,AAPL,037833100,APPLE INC,905349000,21186100.00000000,207.72000000,209.77000000,206.42000000,209.19000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-13,AAPL,037833100,APPLE INC,906386000,21579390.00000000,210.65000000,210.93000000,204.10000000,207.87000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-14,AAPL,037833100,APPLE INC,906386000,15445080.00000000,209.43000000,210.46000000,209.02000000,210.11000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-15,AAPL,037833100,APPLE INC,906386000,21207920.00000000,205.93000000,211.60000000,205.87000000,210.93000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-19,AAPL,037833100,APPLE INC,906386000,26025700.00000000,215.04000000,215.19000000,207.24000000,208.33000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-20,AAPL,037833100,APPLE INC,906386000,21813630.00000000,211.72500000,215.55000000,209.50000000,214.91000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-21,AAPL,037833100,APPLE INC,906386000,21675770.00000000,208.07200000,213.31380000,207.21000000,212.08000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-22,AAPL,037833100,APPLE INC,906386000,31288170.00000000,197.75000000,207.50000000,197.16000000,206.78000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-25,AAPL,037833100,APPLE INC,906386000,36594380.00000000,203.07500000,204.70000000,200.19000000,202.51000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-26,AAPL,037833100,APPLE INC,906795000,66426150.00000000,205.94000000,213.71000000,202.58000000,205.95000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-27,AAPL,037833100,APPLE INC,906795000,61461850.00000000,207.88400000,210.58000000,199.53100000,206.85000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-28,AAPL,037833100,APPLE INC,906795000,41832000.00000000,199.29000000,205.50000000,198.70000000,204.93000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-29,AAPL,037833100,APPLE INC,906795000,44435740.00000000,192.06300000,202.20000000,190.25000000,201.08000000,1.09566295,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-01,AAPL,037833100,APPLE INC,906795000,26693820.00000000,194.73000000,196.00000000,191.30000000,192.37000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-02,AAPL,037833100,APPLE INC,906795000,24922390.00000000,195.86000000,196.32000000,193.38000000,195.91000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-03,AAPL,037833100,APPLE INC,906795000,21932050.00000000,199.23000000,200.20000000,194.42000000,195.17000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-04,AAPL,037833100,APPLE INC,906795000,26996380.00000000,192.05000000,198.37000000,191.57000000,196.73000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-05,AAPL,037833100,APPLE INC,906795000,30334570.00000000,195.46000000,196.00000000,190.85000000,192.62500000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-08,AAPL,037833100,APPLE INC,906795000,17020060.00000000,194.12000000,197.88000000,194.00000000,195.69000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-09,AAPL,037833100,APPLE INC,906795000,22586290.00000000,196.19000000,197.50000000,194.75000000,196.42000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-10,AAPL,037833100,APPLE INC,906795000,13187060.00000000,195.11600000,196.60000000,194.26000000,195.89000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-11,AAPL,037833100,APPLE INC,906795000,19509930.00000000,198.67000000,199.75000000,194.06000000,194.88000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-12,AAPL,037833100,APPLE INC,906795000,22983380.00000000,200.38000000,201.64000000,195.50000000,198.11000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-16,AAPL,037833100,APPLE INC,906795000,19375910.00000000,203.40000000,203.69000000,201.52000000,201.94000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-17,AAPL,037833100,APPLE INC,906795000,15527410.00000000,202.55000000,204.31000000,200.86000000,204.19000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-18,AAPL,037833100,APPLE INC,906795000,15042610.00000000,202.92800000,203.89000000,200.92000000,201.63000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-19,AAPL,037833100,APPLE INC,906795000,14830060.00000000,201.67000000,203.20000000,201.11000000,201.86000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-22,AAPL,037833100,APPLE INC,906795000,13943980.00000000,200.41600000,202.50000000,199.19000000,202.34000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-23,AAPL,037833100,APPLE INC,906795000,20537380.00000000,197.05900000,201.33000000,195.71000000,200.00000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-24,AAPL,037833100,APPLE INC,906795000,16431380.00000000,200.65600000,201.44000000,197.84000000,198.23000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-25,AAPL,037833100,APPLE INC,906795000,23743520.00000000,202.00000000,202.86000000,196.89000000,197.38000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-26,AAPL,037833100,APPLE INC,906795000,18106090.00000000,204.62000000,205.17000000,202.00000000,202.38000000,1.09566295,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-01,AAPL,037833100,APPLE INC,906795000,19616000.00000000,208.99000000,209.50000000,205.45000000,205.75000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-02,AAPL,037833100,APPLE INC,906795000,20212320.00000000,208.85000000,210.83000000,207.74000000,209.93000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-03,AAPL,037833100,APPLE INC,906795000,13263780.00000000,209.33000000,209.87000000,207.94000000,208.94000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-04,AAPL,037833100,APPLE INC,906795000,12798840.00000000,210.71000000,210.92000000,208.63000000,209.28000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-05,AAPL,037833100,APPLE INC,906795000,32092480.00000000,218.95000000,219.70000000,214.63000000,214.94000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-08,AAPL,037833100,APPLE INC,906795000,15332400.00000000,219.08000000,220.09000000,218.25000000,220.01000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-09,AAPL,037833100,APPLE INC,906795000,32844010.00000000,223.02000000,225.00000000,217.89000000,218.31000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-10,AAPL,037833100,APPLE INC,906795000,21272530.00000000,224.84000000,225.48000000,223.20000000,223.83000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-11,AAPL,037833100,APPLE INC,906795000,14458440.00000000,225.50000000,225.50000000,223.32000000,223.91000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-12,AAPL,037833100,APPLE INC,906795000,14834560.00000000,226.60000000,227.73000000,225.75000000,227.37000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-15,AAPL,037833100,APPLE INC,906795000,17572200.00000000,223.84000000,225.50000000,220.25000000,225.38000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-16,AAPL,037833100,APPLE INC,906795000,15940280.00000000,224.45000000,224.98000000,222.51000000,224.18000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-17,AAPL,037833100,APPLE INC,906795000,16071620.00000000,224.12000000,226.45000000,223.27000000,224.90000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-18,AAPL,037833100,APPLE INC,906795000,12165150.00000000,224.65000000,225.00000000,222.61000000,224.10000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-19,AAPL,037833100,APPLE INC,906795000,19952720.00000000,222.24990000,225.24000000,221.23000000,224.79000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-22,AAPL,037833100,APPLE INC,906795000,16261180.00000000,224.75000000,226.00000000,220.15000000,220.47000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-23,AAPL,037833100,APPLE INC,906795000,21483540.00000000,228.36000000,228.78000000,224.10000000,225.64000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-24,AAPL,037833100,APPLE INC,906795000,21345680.00000000,229.37000000,230.20000000,227.51000000,227.64000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-25,AAPL,037833100,APPLE INC,906795000,19351870.00000000,226.65000000,230.97000000,226.25000000,230.92000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-26,AAPL,037833100,APPLE INC,906795000,22855230.00000000,230.90000000,231.95000000,228.55000000,228.95000000,1.09566295,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-29,AAPL,037833100,APPLE INC,906795000,18698150.00000000,232.39000000,233.86990000,231.62000000,233.00000000,1.09566295,2009-04-01
