sigma^2,N,Error
0.01,10,3.054991381460113
0.01,20,3.035113060632004
0.01,30,3.305815617011892
0.01,40,3.1485895803238777
0.01,50,2.6752904959456587
0.01,60,4.081526671343162
0.01,70,3.068253780778687
0.01,80,2.6267650246602643
0.01,90,3.7727592307695668
0.01,100,3.318455594942265
0.01,110,3.0601770647572
0.01,120,3.715768292493788
0.01,130,3.318036971134257
0.01,140,3.071196986803628
0.01,150,3.3259784005083946
0.01,160,3.3279029046697937
0.01,170,3.026264310148472
0.01,180,3.0543996413901633
0.01,190,3.3131465206423876
0.01,200,3.2905060981464285
0.03,10,3.4710598647110653
0.03,20,3.140332017344339
0.03,30,3.2593409789171206
0.03,40,3.1170315077695054
0.03,50,2.5821779113958003
0.03,60,3.7784826586281905
0.03,70,3.3021930967078137
0.03,80,3.254715001833364
0.03,90,3.318682424720494
0.03,100,3.078879586278471
0.03,110,3.2724052891971684
0.03,120,3.3287004402588263
0.03,130,3.1139615756163286
0.03,140,3.0891572727588845
0.03,150,3.256837577713339
0.03,160,3.0689190007982545
0.03,170,3.3025833627945884
0.03,180,3.7990635111680833
0.03,190,3.051256310074395
0.03,200,2.629588379272596
0.05,10,3.5132124519809236
0.05,20,3.7462808802023586
0.05,30,3.3673330433247894
0.05,40,2.8058296900774127
0.05,50,3.2631643569573177
0.05,60,2.5057322476787567
0.05,70,3.3897185524739797
0.05,80,3.5972039913486022
0.05,90,2.6319165907265676
0.05,100,3.2989841319115287
0.05,110,3.9921384304638106
0.05,120,3.0522468468437602
0.05,130,3.1655620225687704
0.05,140,3.169221814764759
0.05,150,2.585542995169982
0.05,160,3.0297540280552586
0.05,170,3.054921251258484
0.05,180,3.0261874946829406
0.05,190,3.322637091371332
0.05,200,3.752148779375535
0.07,10,3.7867221347088713
0.07,20,3.530616336397667
0.07,30,2.1710806935270037
0.07,40,3.8349983081450403
0.07,50,3.808060182162897
0.07,60,2.7026667018023356
0.07,70,2.938983550769611
0.07,80,3.362010301734326
0.07,90,3.06740504251552
0.07,100,3.380920045274656
0.07,110,2.643488630798474
0.07,120,3.1775593692053277
0.07,130,3.125458101600188
0.07,140,3.886552590397064
0.07,150,3.6953252930096885
0.07,160,3.1503186026873307
0.07,170,2.3738662940255315
0.07,180,3.2792305624655644
0.07,190,3.1475553889292
0.07,200,3.229949976935701
0.09,10,3.0256324787022515
0.09,20,3.1053613832980123
0.09,30,3.286808740088829
0.09,40,2.492681644569321
0.09,50,3.4009414443671866
0.09,60,3.685260409307045
0.09,70,2.674415858209306
0.09,80,3.241419477695381
0.09,90,3.7228195934118142
0.09,100,3.311031085920789
0.09,110,2.487267413664414
0.09,120,2.4946845187744295
0.09,130,3.978174000930111
0.09,140,3.138315379025043
0.09,150,2.5636195242277835
0.09,160,3.523246827134803
0.09,170,2.697291858210476
0.09,180,3.411517447292228
0.09,190,3.1950819226881446
0.09,200,2.7682508435516655
0.1,10,3.4382500106543845
0.1,20,2.534141161381944
0.1,30,2.87907024816652
0.1,40,2.5400543387699366
0.1,50,3.3462392800592395
0.1,60,3.7455535539053986
0.1,70,3.124556232964294
0.1,80,3.195625428807837
0.1,90,3.6434789842167414
0.1,100,3.412124030103187
0.1,110,3.0484678893641
0.1,120,3.484936142897039
0.1,130,2.5027758213556854
0.1,140,3.407377267031739
0.1,150,3.0144545372519875
0.1,160,3.477174049213414
0.1,170,3.2159708567613463
0.1,180,3.234098711626608
0.1,190,3.3232326894072637
0.1,200,3.372438225896986
