sigma^2,N,Avg_Error
0.01,10,2.9933338009205093
0.01,40,3.1899175318138595
0.01,70,3.0786470194041398
0.01,100,3.0154785642828505
0.01,130,3.04738678191921
0.01,160,3.2273294755583777
0.01,190,3.108490288835527
0.03,10,3.4299741710360605
0.03,40,3.0324604921996317
0.03,70,3.0673770078262845
0.03,100,3.028089406139289
0.03,130,2.9039182212205916
0.03,160,3.2286082459181644
0.03,190,2.992838816622046
0.05,10,3.005293266849378
0.05,40,3.101578073575026
0.05,70,3.208573292027359
0.05,100,3.219125015425599
0.05,130,3.2566274899171055
0.05,160,3.033121247816416
0.05,190,3.1477478792418254
