sigma^2,N,Avg_Unaligned_Error,Avg_Aligned_Error
0.01,10,3.2272775618916114,0.30622091412266894
0.01,40,2.9564159345386836,0.30614622942810477
0.01,70,3.438598164086356,0.30618207155284927
0.01,100,3.1836386040986966,0.3068399522784429
0.01,130,3.1836536131357667,0.3064590612718233
0.01,160,3.4594982001606187,0.3067186988360949
0.01,190,3.432213316214451,0.3060790909010825
0.03,10,3.535194663107863,0.29615332622851553
0.03,40,2.744369722861924,0.2958839796783865
0.03,70,3.2982436948594858,0.30286868394179356
0.03,100,3.1165910571684092,0.3030586817337728
0.03,130,3.238653709739433,0.30506902434191685
0.03,160,3.2809708767122983,0.3075734274965427
0.03,190,3.21622365612279,0.3064967668162052
0.05,10,2.7816526025032453,0.29214179620845465
0.05,40,3.0095205524440116,0.30137740968189997
0.05,70,3.6450865925168845,0.30169631805507546
0.05,100,3.382453250754049,0.2982562921342209
0.05,130,3.52944786005086,0.3047265757279151
0.05,160,3.0411048391396154,0.2915189614399253
0.05,190,3.141590997888636,0.2995862673511295
