sigma^2,N,Run,Unaligned_Error,Aligned_Error
0.01,10,1,2.2642605775244022,0.4302377264386853
0.01,20,1,4.212697579901654,0.5342418464621981
0.01,30,1,2.3707697379574633,0.5551533785942234
0.01,40,1,3.047971586842628,0.5426645104042425
0.01,50,1,2.093486856313058,0.5470042717928479
0.01,60,1,2.373489742520314,0.551837971734624
0.01,70,1,2.4106177335110024,0.5467317231953855
0.01,80,1,4.19280051211184,0.5537282461539179
0.01,90,1,4.24955636481096,0.5554320635576092
0.01,100,1,4.249206999161741,0.5576964648403258
0.01,110,1,3.0949576154168983,0.5549448686143723
0.01,120,1,4.253834498047076,0.5568879542431397
0.01,130,1,3.964842527354714,0.5528538291103411
0.01,140,1,2.13901853174455,0.5525956942401038
0.01,150,1,2.133545611581558,0.5565613395555338
0.01,160,1,3.1237889765376137,0.5554610002289387
0.01,170,1,2.140731050430243,0.5558730295441924
0.01,180,1,3.950543213719284,0.5569896768468412
0.01,190,1,4.245408937533509,0.5562915374007443
0.01,200,1,2.3568488708736854,0.5554791923954161
0.03,10,1,2.9648765083714177,0.40676995083371253
0.03,20,1,3.0026432680882644,0.4558649545045477
0.03,30,1,3.305263721775096,0.5356454011855885
0.03,40,1,3.0008703637686045,0.5487441048308433
0.03,50,1,3.198330027739329,0.3677083748334029
0.03,60,1,3.1431826561413763,0.5201124710412488
0.03,70,1,3.3733491490002243,0.5445099091746105
0.03,80,1,2.301687398098587,0.5539719397504828
0.03,90,1,4.1944378090068,0.4997142798615137
0.03,100,1,2.35999597010306,0.5433532578480958
0.03,110,1,2.405150513848981,0.5493896151025536
0.03,120,1,2.988659871955877,0.5527419737373673
0.03,130,1,2.1448815336216414,0.5523823769939424
0.03,140,1,3.127110943027096,0.5441527389198549
0.03,150,1,3.998823564453299,0.5528674952282658
0.03,160,1,3.14144640106573,0.5337698253990109
0.03,170,1,2.1207634355398577,0.5566868916523706
0.03,180,1,2.3999472884498587,0.5313986186534956
0.03,190,1,4.003505864098556,0.5516981404966038
0.03,200,1,2.1377887028377494,0.5563306918289195
0.05,10,1,3.150246175740538,0.28430896455685606
0.05,20,1,2.4753971651092437,0.39554389554254676
0.05,30,1,3.1897382703184802,0.38811337806365176
0.05,40,1,4.018626386370623,0.41511829010692164
0.05,50,1,3.509114420772959,0.37197858103137393
0.05,60,1,3.9874539781512164,0.5408718072058769
